"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Навигация и базовая функциональность","2","0","Кнопка «Конструктор»: сценарий через ленту заказов","0"
"0","","0","Лента заказов","2","0","Счётчик «Выполнено за сегодня»","0"
"0","","0","Лента заказов","2","0","Счётчик «Выполнено за всё время»","0"
"0","","0","Навигация и базовая функциональность","2","0","Счётчик ингредиента","0"
"0","","0","Лента заказов","2","0","Заказ в разделе «В работе»","0"
"0","","0","Навигация и базовая функциональность","2","0","Закрытие всплывающего окна","0"
"0","","0","Навигация и базовая функциональность","2","0","Переход по кнопке «Лента Заказов»","0"
"0","","0","Навигация и базовая функциональность","2","0","Всплывающее окно ингредиента","0"
